title,english_title,type,episodes,score,ranked,popularity,members,favorites,rating,status,aired,premiered,broadcast,producers,licensors,studios,source,demographic,duration,genre,theme,genres,themes,demographics,parent_story,prequel,side_story,other,sequel,alternative_setting,character,summary,alternative_version,spin_off,full_story,synopsis
Xenosaga The Animation,-,TV,12,6.33,7228,4549,20125,44,PG-13 - Teens 13 or older,Finished Airing,"Jan 6, 2005 to Mar 24, 2005",Winter 2005,Thursdays at 02:42 (JST),Happinet Pictures,"ADV Films,Funimation",Toei Animation,Game,-,23 min. per ep.,-,-,"Action,Sci-Fi","Mecha,Space",-,-,-,-,-,-,-,-,-,-,-,-,"The year is T.C. 4767. Four thousand years have passed since humanity abandoned its birthplace, the planet Earth. Beset by the hostile alien Gnosis, mankind is now scrambling to find ways to defeat this threat to their existence. The development of KOS-MOS (a specialized android with amazing capabilities) by Vector engineer Shion Uzuki was one response to the threat. But when their ship is destroyed by the Gnosis, Shion and her companions find themselves thrust into the middle of a battle with no clear sides...

(Source: Anime-Planet)"
Xevious,-,Movie,1,0,13409,14142,614,1,R - 17+ (violence & profanity),Finished Airing,"Aug 3, 2002",-,-,KENMedia,,,Game,-,1 hr. 15 min.,-,Space,"Action,Adventure,Sci-Fi",-,-,-,-,-,-,-,-,-,-,-,-,-,"In the year 2150 A.D. space pilot Takeru and human computer Martha come across a giant ship which contains two mechanical beings called Sara and Ru Mi. They warn Takeru and Martha of the Gump, an alien race that is heading to Earth so that it can take over the planet. With only 40 mintues remaining until Earth's invasion, Takeru enters the Solvalou, a combat aircraft, and heads to the Gump's base on the planet Andoa.

(Source: ANN)"
Xi Avant,-,Movie,1,6.15,8118,9174,3293,0,PG-13 - Teens 13 or older,Finished Airing,"Mar 26, 2011",-,-,,,Production I.G,Unknown,-,3 min.,-,-,"Adventure,Sci-Fi",-,-,-,-,-,-,-,-,-,-,-,-,-,"Short anime screened in theaters with the stereoscopic 3D conversion of Ghost in the Shell: Stand Alone Complex - Solid State Society movie. The story of Xi Avant is set in Spain and other locales in the near future, and it is tied to the NTT Docomo mobile phone network's next-generation Xi service.

(Source: ANN)"
Xi Bai Po,-,Movie,1,0,13410,21668,67,0,PG - Children,Finished Airing,"May 26, 2011",-,-,,,Shanghai Animation Film Studio,Other,Kids,1 hr. 13 min.,-,Historical,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Bai Po 2: Yingxiong Wang Er Xiao,-,Movie,1,0,13411,21850,63,0,PG - Children,Finished Airing,"Apr 28, 2013",-,-,,,Shanghai Animation Film Studio,Other,Kids,1 hr. 21 min.,-,Historical,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"During the Second Sino-Japanese War, the Japanese army attacks Nangunlong, a village in Hebei Province. The attackers get lost and ask 13-year-old cowboy Wang Er Xiao for directions. To avenge the death of his parents and protect other villagers, Wang Er Xiao pretends to surrender, then leads the Japanese to the ambush of Chinese army.

(Source: IMDB)"
Xi Ge Xi Mei: Kaixin Leyuan,-,TV,25,0,13412,22369,55,0,PG - Children,Finished Airing,2012 to ?,?,Unknown,,,,Original,Kids,8 min. per ep.,Comedy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Gua Pao,-,Movie,1,0,13413,21747,65,0,G - All Ages,Finished Airing,1978,-,-,,,Shanghai Animation Film Studio,Other,Kids,44 min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Hang Zongdongyuan: Loulan Chuanqi,-,TV,26,0,13414,23584,41,0,PG - Children,Finished Airing,2014 to ?,?,Unknown,,,,Original,Kids,15 min. per ep.,Fantasy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Mu Ba Long Jiazu,-,TV,88,0,13415,22502,53,0,PG - Children,Finished Airing,2012 to ?,?,Unknown,,,,Original,Kids,12 min. per ep.,Adventure,Historical,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Xiao Yijia Qin,-,TV,52,0,13416,21230,74,0,PG - Children,Finished Airing,May 2011 to Dec 2011,Spring 2011,Unknown,,,,Original,Kids,11 min. per ep.,Comedy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Xing Ji,The Westward,ONA,16,6.54,6138,10570,2044,9,PG-13 - Teens 13 or older,Finished Airing,"Jul 18, 2018 to Oct 10, 2018",-,-,Tencent Penguin Pictures,,BYMENT,Manga,-,16 min. per ep.,-,-,"Action,Adventure,Fantasy","Historical,Martial Arts",-,-,"Xi Xing Ji: Zaijian Wu Kong, Xi Xing Ji: Qiong Qi Didong, Xi Xing Ji: Anying Mo Cheng",-,-,Xi Xing Ji: Jijie Pian,-,-,-,-,-,-,"The journey to the West was a conspiracy of heaven! After Sutra went missing for more than a decade, Heaven sent its army to search, in order not to let the Sutra once again fall into the hands of heaven, the journey to West begin again.

(Source: White Cloud Pavilion)"
Xi Xing Ji: Anying Mo Cheng,The Westward: The Kingdom of Shadow,ONA,1,0,13417,17977,247,0,PG-13 - Teens 13 or older,Finished Airing,"Jan 18, 2023",-,-,Tencent Penguin Pictures,,BYMENT,Manga,-,1 hr. 16 min.,-,-,"Action,Adventure,Fantasy","Historical,Martial Arts",-,-,-,-,-,Xi Xing Ji,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Xing Ji: Chongsheng Pian,The Westward,ONA,12,6.55,6059,14063,629,2,PG-13 - Teens 13 or older,Finished Airing,"Jun 1, 2022 to Aug 3, 2022",-,-,Tencent Penguin Pictures,,BYMENT,Manga,-,22 min. per ep.,-,-,"Action,Adventure,Fantasy","Historical,Martial Arts",-,-,Xi Xing Ji: Suming Pian,-,-,-,-,-,-,-,-,-,The fourth season of Xi Xing Ji.
Xi Xing Ji: Jijie Pian,The Westward,ONA,22,6.79,4865,12699,970,6,PG-13 - Teens 13 or older,Finished Airing,"Sep 28, 2019 to Jan 31, 2020",-,-,Tencent Penguin Pictures,,BYMENT,Manga,-,14 min. per ep.,-,-,"Action,Adventure,Fantasy","Historical,Martial Arts",-,-,Xi Xing Ji,-,-,Xi Xing Ji: Suming Pian,-,-,-,-,-,-,"The journey to the West was a conspiracy of heaven! After Sutra went missing for more than a decade, Heaven sent its army to search, in order not to let the Sutra once again fall into the hands of heaven, the journey to West begin again.

(Source: White Cloud Pavilion)"
Xi Xing Ji: Qiong Qi Didong,The Westward: The Fantasy Cave,ONA,1,0,13418,16811,328,1,PG-13 - Teens 13 or older,Finished Airing,"Aug 19, 2022",-,-,Tencent Penguin Pictures,,BYMENT,Manga,-,1 hr. 17 min.,-,-,"Action,Adventure,Fantasy","Historical,Martial Arts",-,-,-,-,-,Xi Xing Ji,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Xing Ji: Suming Pian,The Westward,ONA,20,6.49,6425,13114,854,2,PG-13 - Teens 13 or older,Finished Airing,"Jun 2, 2021 to Jul 28, 2021",-,-,Tencent Penguin Pictures,,BYMENT,Manga,-,14 min. per ep.,-,-,"Action,Adventure,Fantasy","Historical,Martial Arts",-,-,Xi Xing Ji: Jijie Pian,-,-,Xi Xing Ji: Chongsheng Pian,-,-,-,-,-,-,The third season of Xi Xing Ji.
Xi Xing Ji: Zaijian Wu Kong,The Westward: Goodbye Wu Kong,ONA,1,6.48,6488,13125,853,2,PG-13 - Teens 13 or older,Finished Airing,"May 4, 2020",-,-,Tencent Penguin Pictures,,BYMENT,Manga,-,1 hr. 5 min.,-,-,"Action,Adventure,Fantasy","Historical,Martial Arts",-,-,-,-,-,Xi Xing Ji,-,-,-,-,-,-,"Prequel to animation series ""Journey to the West"", Su Yi, a princess of the heavenly realm, befriends Sun Wukong in the mortal world and falls in love with him. However, Sun Wukong is violently treated as a demon by other gods and suppressed under the Five Fingers Mountain. In the past 300 years, the god Rulai has taught the Wukong how to uphold justice in his heart. Sun Wukong protects the Longevity Monk and goes to the other side of the world to retrieve the fire of creation for the benefit of the world, but finally returns after many ups and downs. The conspiracy surfaced and the fate of the master and disciples was rewritten.

(Source: TMDB)"
Xi Yangyang Yu Hui Tai Lang: Qi Si Miao Xiang Xi Yangyang,Pleasant Goat and Big Big Wolf: Smart Dodging,TV,60,0,13419,19733,145,1,PG - Children,Finished Airing,"Jul 6, 2011 to ?",?,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Gei Kuaile Jiayou,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang,Pleasant Goat and Big Big Wolf,TV,530,6.19,7916,13137,849,5,PG - Children,Finished Airing,"Aug 3, 2005 to 2008",?,Unknown,"Creative Power Entertaining,Alpha Group Co. Ltd.",,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Yangyang Yundonghui,-,-,Xi Yangyang Yu Hui Tailang: Yangyang Deyi Xi Yangyang,-,-,-,"The hectic daily life of a group of goats living on the Green Pasture, or Qing Qing Grassland (青青草原), and the clumsy wolf who wants to eat them."
Xi Yangyang Yu Hui Tailang: Faming Da Zuozhan,Pleasant Goat and Big Big Wolf: War of Invention,TV,60,0,13420,20022,128,0,PG - Children,Finished Airing,"Jul 12, 2017 to ?",?,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Qihuan Tiankong Dao,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Fei Ma Qi Yu Ji,Meet The Pegasus,Movie,1,5.68,10105,17082,309,1,G - All Ages,Finished Airing,"Jan 16, 2014",-,-,Alpha Group Co. Ltd.,,,Unknown,Kids,1 hr. 20 min.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Yang Nian Xi Yangyang,-,-,-,-,-,-,"In fairytales, the handsome prince, with some help from friendly dwarves, always marries the beautiful princess and lives happily ever after with her. This, unfortunately, is not the case for Prince Pegasus. Due to the meddling of Dwarf Pegasus, Prince Pegasus is not only stopped from marrying his princess, but also falls from Pegasus City down to Green Green Pastures! Now, it's up to Pleasant Goat and his friends to help Prince Pegasus return to his home! As always, though, Big Big Wolf is closely following the goats... 

(source: YesAsia)"
Xi Yangyang Yu Hui Tailang: Gei Kuaile Jiayou,"Pleasant Goat and Big Big Wolf: Happy, Happy, Bang! Bang!",TV,100,0,13421,19662,150,0,PG - Children,Finished Airing,"Oct 15, 2011 to ?",?,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Jingji Da Lianmeng,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Hu Hu Sheng Wei,Pleasant Goat and Big Big Wolf: The Tiger Prowess,Movie,1,5.44,10919,14515,553,0,G - All Ages,Finished Airing,"Jan 29, 2010",-,-,"Creative Power Entertaining,Alpha Group Co. Ltd.",,,Other,Kids,1 hr. 28 min.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Tu Nian Ding Gua Gua,-,-,-,-,-,-,"Crafty Gecko and General Tiger attack the Goat Village with plans to build an amusement park. Even worse, they intend to turn the castle of Wolfie (Grey Wolf) and his wife, Wolnie (Red Wolf) into a public toilet! To save their captured families from the fierce animal gang and robot soldiers, Weslie (Pleasant Goat) and Wolfie must work together to find the legendary statues that protected their ancestors. Can they beat the villains and become friends?

(Source: Wikipedia)"
Xi Yangyang Yu Hui Tailang: Jingji Da Lianmeng,Pleasant Goat and Big Big Wolf: The Athletic Carousel,TV,60,0,13422,19926,133,0,PG - Children,Finished Airing,"Jun 30, 2012 to ?",?,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Kaixin Riji,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Juezhan Ci Shidai,Pleasant Goat and Big Big Wolf: Decisive Battle Times,TV,60,0,13423,15946,391,4,PG - Children,Finished Airing,"Jul 9, 2021 to Jul 23, 2021",Summer 2021,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Action,Comedy",-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Kaixin Chuang Long Nian,Pleasant Goat and Big Big Wolf: Mission Incredible: Adventures on the Dragon's Trail,Movie,1,5.5,10748,15066,480,0,G - All Ages,Finished Airing,"Jan 12, 2012",-,-,"Creative Power Entertaining,Alpha Group Co. Ltd.",,,Unknown,Kids,1 hr. 27 min.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Xi Qi Yangyang Guo She Nian,-,-,-,-,-,-,"It is said that there is a thousands years old treasure that must be found before it fall into the wrong hands, and the Dragon flute which only the real descendant of the dragon can open the door of the treasure. It's a race against time and full onslaught of enemies to stop the heroes from there quest.

(Source: AniDB)"
Xi Yangyang Yu Hui Tailang: Kaixin Fangshenshi,Pleasant Goat and Big Big Wolf: Happy Formula,TV,60,0,13424,19856,137,0,PG - Children,Finished Airing,"Jul 26, 2013 to ?",?,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Lan Yangyang Dang Dachu,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Kaixin Riji,Pleasant Goat and Big Big Wolf: The Happy Diary,TV,60,0,13425,19867,136,0,PG - Children,Finished Airing,"Dec 8, 2012 to ?",?,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Kaixin Fangshenshi,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Kua Shikong Jiu Bing,Pleasant Goat and Big Big Wolf: Rescue Across Time,TV,60,0,13426,19972,131,0,PG - Children,Finished Airing,"Jul 12, 2019 to ?",?,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Qiqu Waixing Ke,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Kuang Chu Shengli,Pleasant Goat and Big Big Wolf: Dunk for Victories,TV,60,0,13427,18618,210,0,PG - Children,Finished Airing,"Jan 21, 2021 to Feb 5, 2021",Winter 2021,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Comedy,Sports",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Juezhan Ci Shidai,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Kuang Chu Weilai,Pleasant Goat and Big Big Wolf: Dunk For Future,Movie,1,0,13428,19910,134,0,PG - Children,Finished Airing,"Feb 1, 2022",-,-,Alpha Animation,,,Original,-,1 hr. 34 min.,-,Team Sports,"Comedy,Sports",-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Lan Yangyang Dang Dachu,Pleasant Goat and Big Big Wolf: Paddi the Amazing Chef,TV,52,0,13429,19894,135,0,PG - Children,Finished Airing,"Dec 20, 2013 to ?",?,Unknown,,,,Unknown,Kids,25 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Yangyang Xiao Xinyuan,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Mama Le Fengkuang,Pleasant Goat and Big Big Wolf: Love You Babe,TV,60,0,13430,19963,132,0,PG - Children,Finished Airing,"Feb 12, 2015 to ?",?,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Yuanshi Shijie Lixian Ji,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Man Jing Tou,-,TV,60,0,13431,20080,125,0,PG - Children,Finished Airing,"Jul 14, 2017 to ?",?,Unknown,,,,Unknown,Kids,6 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Niu Qi Chong Tian,Pleasant Goat and Big Big Wolf: The Super Snail Adventure,Movie,1,5.67,10161,14319,586,0,G - All Ages,Finished Airing,"Jan 16, 2009",-,-,"Creative Power Entertaining,Alpha Group Co. Ltd.",,,Unknown,Kids,1 hr. 25 min.,-,-,"Adventure,Comedy",-,-,-,-,-,-,-,-,-,-,-,-,-,"In 3131, the goats lived on Qingqing Field happily, and the Grey Wolf lived in the castle with his wife named Red Wolf beyond the Qingqing Field. Every time when Grey Wolf appeared on the Qingqing Field, and was going to catch the goats, all the goats would work together and chucked the wolf out of Qingqing Field.

PGBBW is a classic story line of a village of happy-go-lucky goats and their not-so-friendly wolf neighbors. Each episode explores the wolf’s latest scheme to catch himself goat for dinner. Despite his attempts, the goats in the village always seem to outsmart the wolf—all while creating a funny and adventurous plot line."
Xi Yangyang Yu Hui Tailang: Qihuan Tiankong Dao,Pleasant Goat and Big Big Wolf: Flying Island: The Sky Adventure,TV,60,0,13432,19964,132,0,PG - Children,Finished Airing,"Jan 27, 2018 to ?",?,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Yang Cun Shouhuzhe,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Qiqu Waixing Ke,Pleasant Goat and Big Big Wolf: The Intriguing Alien Guests,TV,60,0,13433,19927,133,0,PG - Children,Finished Airing,"Jan 10, 2020 to ?",?,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Yiguo Da Yingjiu,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Shenhai Lixian Ji,Pleasant Goat and Big Big Wolf: Adventures in the Sea,TV,60,0,13434,19995,130,0,PG - Children,Finished Airing,"Jan 9, 2017 to ?",?,Unknown,,,,Unknown,Kids,15 min. per ep.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Faming Da Zuozhan,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
Xi Yangyang Yu Hui Tailang: Tu Nian Ding Gua Gua,Pleasant Goat and Big Big Wolf: Moon Castle - The Space Adventure,Movie,1,5.44,10920,14844,506,0,G - All Ages,Finished Airing,"Jan 21, 2011",-,-,"Creative Power Entertaining,Alpha Group Co. Ltd.",,,Unknown,Kids,1 hr. 27 min.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Kaixin Chuang Long Nian,-,-,-,-,-,-,"The spring festival is around corner, but Mr. wolf doesn't feel happy at all. Mrs. Wolf is going to have baby, but Mr. Wolf can't catch any sheep. What is more, their castle is torn down making them homeless. Mr. Wolf needs to fight back.

 In the mean time, a sheep from the moon returns and tells the other sheep the secret of the sugar moon. The sheep go to the moon but are followed by wolfs. They are going to have war on the moon. 

Filled with different sorts of yummy candies, Moon used to be a paradise for those with a sweet tooth. It's also the residence of the Moon fairy and her magical rabbit. But one day the Lord of Bitterness invades Moon with the intention of making their happy life miserable. The rabbit escapes to Earth and seeks help from Pleasant Goat, who then leads a ragtag group of rescuers - including his nemesis Big Big Wolf - to restore peace on Moon.

(Source: YesAsia & China Image Film Festival)"
Xi Yangyang Yu Hui Tailang: Xi Qi Yangyang Guo She Nian,The Mythical Ark: Adventures in Love & Happiness,Movie,1,5.59,10437,16931,319,0,G - All Ages,Finished Airing,"Jan 24, 2013",-,-,"Creative Power Entertaining,Alpha Group Co. Ltd.",,,Unknown,Kids,1 hr. 28 min.,-,-,"Adventure,Comedy",-,-,-,-,-,-,Xi Yangyang Yu Hui Tailang: Fei Ma Qi Yu Ji,-,-,-,-,-,-,"In the face of impending disaster, the animal world is looking to the Mythical Ark for salvation. The problem is that only the snake tribe can operate the ark, and the snakes have already escaped to Utopia. To save the animals, Pleasant Goat and Big Big Wolf travel to Utopia to convince the snakes to help. In the process, they become friends, and the snakes agree to help. However, Pleasant Goat and Big Big Wolf decide to stay behind to save their homes. 

(Source: YesAsia)"
