title,english_title,type,episodes,score,ranked,popularity,members,favorites,rating,status,aired,premiered,broadcast,producers,licensors,studios,source,demographic,duration,genre,theme,genres,themes,demographics,parent_story,prequel,side_story,other,sequel,alternative_setting,character,summary,alternative_version,spin_off,full_story,synopsis
X,-,TV,24,7.4,2094,2214,80073,756,R+ - Mild Nudity,Finished Airing,"Oct 3, 2001 to Mar 27, 2002",Fall 2001,Wednesdays at 18:30 (JST),"Bandai Visual,Kadokawa Shoten,d-rights,chara-ani.com","Funimation,Geneon Entertainment USA",Madhouse,Manga,Shoujo,24 min. per ep.,-,Super Power,"Action,Drama,Fantasy,Romance",-,-,-,X OVA,-,-,-,-,-,-,X/1999,-,-,"His destiny has finally arrived as the young Shirou Kamui returns to Tokyo after 6 years. A powerful psychic, Kamui vows to protect the happiness of his childhood friends Fuuma and Kotori, even if it means avoiding them. But fate is cruel, whether or not Kamui wants to be involved; he holds the future of the world in his hands, given the choice of becoming a Dragon of Heaven or a Dragon of Earth. The Seven Seals gather, and so do the Seven Angels; all individuals who have their destiny carved out as one who would battle for the fate of the world. What future will Kamui choose to become reality?"
X Densha de Ikou,-,OVA,1,5.7,10040,8802,3730,8,R - 17+ (violence & profanity),Finished Airing,"Nov 6, 1987",-,-,,,Madhouse,Novel,-,50 min.,-,-,"Avant Garde,Mystery,Supernatural",-,-,-,-,-,-,-,-,-,-,-,-,-,"Ishihara Toru is an everyday guy with an on-and-off girlfriend and a position working for a train buff. Things become complicated when a ghostly vehicle dubbed the X Train begins to ride the rails, destroying everything in its path. Somehow, it seems that Toru is connected with the X Train by a strange power, which draws the attention of some very dangerous and power hungry people who would wield it for their own...

(Source: ANN)"
X Maiden,-,ONA,8,5.46,10866,12511,1028,0,PG-13 - Teens 13 or older,Finished Airing,"Feb 28, 2014 to Jun 20, 2014",-,-,Lambert,,,Game,-,11 min. per ep.,-,School,"Comedy,Slice of Life",-,-,-,-,-,-,-,-,-,-,-,-,-,"In 20XX C.E., a mysterious alien race named Firow suddenly appears on Earth. The Firow's dreadful attacks force humanity to engage in a difficult battle. But humanity's last hope, the X Maiden who wear weapons built to destroy the Firow, are about to set out.

(Source: ANN)"
X Maiden: Izakaya Tamaki,-,ONA,7,0,13408,16015,386,1,PG-13 - Teens 13 or older,Finished Airing,"Mar 10, 2014 to Jun 13, 2014",-,-,Lambert,,,Unknown,-,7 min. per ep.,Comedy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
X OVA,X: An Omen,OVA,1,6.79,4864,5448,12782,5,PG-13 - Teens 13 or older,Finished Airing,"Aug 25, 2001",-,-,Kadokawa Shoten,"Funimation,Geneon Entertainment USA",Madhouse,Manga,-,22 min.,-,-,"Drama,Fantasy,Mystery,Romance,Supernatural",-,-,-,Tokyo Babylon,-,-,X,-,-,-,-,-,-,"In this prequel to the ""X"" TV series, a beautiful, young, bedridden dreamgazer named Kakyou remembers the life and death of a remarkable young woman whom he met in dreams. He also recounts his dreams of a tragic future in which the fate of the Earth will be decided.

(Source: ANN)"
X-Men,-,TV,12,6.32,7307,3999,26716,26,PG-13 - Teens 13 or older,Finished Airing,"Apr 1, 2011 to Jun 24, 2011",Spring 2011,Unknown,"Sony Pictures Entertainment,Atelier Musa",Marvel Entertainment,Madhouse,Other,-,23 min. per ep.,-,Super Power,"Action,Drama",-,-,-,-,-,-,-,-,-,-,-,-,-,"The X-Men are reunited following the death of a teammate, and are summoned by Charles Xavier to Japan following the abduction of Hisako Ichiki (Armor). There, they confront the U-Men, a lunatic cult that steals and transplants mutant organs to further strengthen their own army, and the battle for justice is on.

(Source: Marvel)"
X/1999,X - The Movie,Movie,1,6.57,5994,3441,36783,117,R - 17+ (violence & profanity),Finished Airing,"Aug 3, 1996",-,-,"Kadokawa Shoten,Victor Entertainment,Marubeni,Movic,Sega,Shelty",Manga Entertainment,Madhouse,Manga,Shoujo,1 hr. 37 min.,-,-,"Action,Drama,Fantasy,Horror,Sci-Fi,Supernatural",-,-,-,X²: Double X,-,-,-,-,-,-,X,-,-,"At the millennial edge, the concluding battle for humanity's future is staged. Kamui Shirou's destiny has been decided as he returns to Tokyo to face his ultimate challenge. The Dragon of Heaven, defenders of the Earth, stand ready to protect the world from the Dragon of Earth, the seven angels of legend, who embrace the devastation of the planet to bring about its purification. Now Kamui must decide which side to fight for although he finds the idea utterly unappealing. It isn't until realizing that his two childhood friends, Fuma and Kotori Monou, are in grievous peril that Kamui decides to step into his fated position in the climactic struggle of the Year of Destiny: 1999. 

(Source: AnimeNfo) "
Xabungle Graffiti,-,Movie,1,5.58,10485,12547,1017,0,PG-13 - Teens 13 or older,Finished Airing,"Jul 9, 1983",-,-,,Maiden Japan,Sunrise,Unknown,-,1 hr. 23 min.,-,Mecha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A movie recapping the events of the Xabungle TV series.
Xanadu Dragonslayer Densetsu,-,OVA,1,5.19,11568,11361,1531,0,R+ - Mild Nudity,Finished Airing,"Mar 1, 1988",-,-,,,Toei Animation,Game,-,50 min.,-,-,"Adventure,Comedy,Fantasy",-,-,-,-,-,-,-,-,-,-,-,-,-,"Based on the role-playing game ""Legend of Xanadu"". The evil magician Reichswar has killed the King to gain possession of a magic crystal; now he means to use its power to rule the whole of Xanadu. Then the widowed Queen Rieru is kidnapped. One brave young warrior, wielding the magic blade Dragonslayer, goes to her rescue.

(Source: The Anime Encyclopedia)"
X²: Double X,-,Music,1,6.46,0,7783,5327,5,PG-13 - Teens 13 or older,Finished Airing,"Nov 21, 1993",-,-,,,Madhouse,Manga,Shoujo,2 min.,Drama,Music,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"X²: Double X is a short (two minutes and forty seconds long) prequel to the theatrical X film. It is a part of four music videos.

The first three are stills of CLAMP's pre-1994 X artwork and live-action sequences. The fourth is animated by Madhouse. Being the only music video that contains actual plot, the fourth video introduces some of the major characters and quickly lashes through the first few X manga (equivalent to X TV series episodes 1–3) which take place before the theatrical movie.

(Source: ANN, edited)"
